CompoundType (class=java.lang.String)
c_Unknown+-+12636 = Compound
c_Unknown+-+10458 = Compound
c_3-indoxyl+sulfate = Compound
c_linoleoyl-linolenoyl-glycerol+%2818%3A2%2F18%3A3%29+%5B2%5D* = Compound
c_Unknown+-+11308 = Compound
c_1-%281-enyl-palmitoyl%29-2-palmitoyl-GPC+%28P-16%3A0%2F16%3A0%29* = Compound
c_ibuprofen+acyl+glucuronide = Compound
c_3-methyl-2-oxovalerate = Compound
c_Unknown+-+11795 = Compound
c_1-palmitoyl-2-oleoyl-GPI+%2816%3A0%2F18%3A1%29* = Compound
c_phosphatidylcholine+%2818%3A0%2F20%3A5%2C+16%3A0%2F22%3A5n6%29* = Compound
p_Glycerolipid+Metabolism+ = Sub+Pathway
c_7-alpha-hydroxy-3-oxo-4-cholestenoate+%287-Hoca%29 = Compound
c_Unknown+-+11315 = Compound
c_1-dihomo-linolenylglycerol+%2820%3A3%29 = Compound
c_stearoyl-arachidonoyl-glycerol+%2818%3A0%2F20%3A4%29+%5B1%5D* = Compound
c_N-formylanthranilic+acid = Compound
c_indole-3-carboxylic+acid = Compound
c_1-%281-enyl-stearoyl%29-2-docosahexaenoyl-GPE+%28P-18%3A0%2F22%3A6%29* = Compound
c_lactosyl-N-nervonoyl-sphingosine+%28d18%3A1%2F24%3A1%29* = Compound
c_1-linoleoyl-2-linolenoyl-GPC+%2818%3A2%2F18%3A3%29* = Compound
c_behenoyl+sphingomyelin+%28d18%3A1%2F22%3A0%29* = Compound
c_gamma-tocopherol%2Fbeta-tocopherol = Compound
c_dimethyl+sulfone = Compound
c_tricosanoyl+sphingomyelin+%28d18%3A1%2F23%3A0%29* = Compound
c_azelate+%28C9-DC%29 = Compound
c_1-palmitoleoylglycerol+%2816%3A1%29* = Compound
c_1-%281-enyl-palmitoyl%29-2-docosahexaenoyl-GPC+%28P-16%3A0%2F22%3A6%29* = Compound
p_Fatty+Acid%2C+Amino = Sub+Pathway
c_1-oleoyl-GPE+%2818%3A1%29 = Compound
c_1-palmitoyl-2-eicosapentaenoyl-GPC+%2816%3A0%2F20%3A5%29* = Compound
c_1-palmitoyl-GPI+%2816%3A0%29 = Compound
c_gamma-glutamylthreonine = Compound
c_5-%28galactosylhydroxy%29-L-lysine = Compound
c_oxalate+%28ethanedioate%29 = Compound
c_N-trimethyl+5-aminovalerate = Compound
c_gamma-glutamylglycine = Compound
c_1-myristoyl-2-arachidonoyl-GPC+%2814%3A0%2F20%3A4%29* = Compound
p_Guanidino+and+Acetamido+Metabolism = Sub+Pathway
c_gamma-glutamylvaline = Compound
c_umbelliferone+sulfate = Compound
c_ribonate = Compound
p_Pyrimidine+Metabolism%2C+Cytidine+containing = Sub+Pathway
c_1-palmitoyl-2-dihomo-linolenoyl-GPC+%2816%3A0%2F20%3A3n3+or+6%29* = Compound
c_4-guanidinobutanoate = Compound
c_piperine = Compound
c_1-palmitoyl-2-arachidonoyl-GPE+%2816%3A0%2F20%3A4%29* = Compound
p_Carnitine+Metabolism = Sub+Pathway
c_alpha-ketoglutarate = Compound
p_Vitamin+B6+Metabolism = Sub+Pathway
c_Unknown+-+23739 = Compound
c_phosphatidylethanolamine+%28P-18%3A1%2F20%3A4%2C+P-16%3A0%2F22%3A5n3%29* = Compound
c_21-hydroxypregnenolone+disulfate = Compound
c_1-%281-enyl-stearoyl%29-2-arachidonoyl-GPC+%28P-18%3A0%2F20%3A4%29 = Compound
c_phenol+sulfate = Compound
c_cyclo%28pro-val%29 = Compound
c_O-acetylhomoserine = Compound
c_3-methylhistidine = Compound
c_1-stearoyl-2-oleoyl-GPS+%2818%3A0%2F18%3A1%29 = Compound
c_pipecolate = Compound
c_sphingomyelin+%28d18%3A2%2F18%3A1%29* = Compound
c_oleoyl-oleoyl-glycerol+%2818%3A1%2F18%3A1%29+%5B2%5D* = Compound
c_sulfate+of+piperine+metabolite+C18H21NO3+%283%29* = Compound
c_stearoyl+ethanolamide = Compound
p_Glycolysis%2C+Gluconeogenesis%2C+and+Pyruvate+Metabolism = Sub+Pathway
c_paraxanthine = Compound
c_1%2C2-dioleoyl-GPC+%2818%3A1%2F18%3A1%29 = Compound
c_1-stearoyl-2-oleoyl-GPC+%2818%3A0%2F18%3A1%29 = Compound
c_inosine = Compound
c_dehydroisoandrosterone+sulfate+%28DHEA-S%29 = Compound
c_N-acetylglutamate = Compound
c_1-palmitoyl-2-docosahexaenoyl-GPC+%2816%3A0%2F22%3A6%29 = Compound
c_1-margaroyl-2-linoleoyl-GPC+%2817%3A0%2F18%3A2%29* = Compound
c_1-stearoyl-2-oleoyl-GPE+%2818%3A0%2F18%3A1%29 = Compound
c_heptanoate+%287%3A0%29 = Compound
c_Unknown+-+22834 = Compound
c_3-%283-hydroxyphenyl%29propionate+sulfate = Compound
p_Fatty+Acid%2C+Monohydroxy = Sub+Pathway
c_glycerol+3-phosphate = Compound
c_glycolithocholate = Compound
c_carboxyethyl-GABA = Compound
c_ferulic+acid+4-sulfate = Compound
c_N-palmitoyl-sphingadienine+%28d18%3A2%2F16%3A0%29* = Compound
c_1-palmitoyl-2-docosahexaenoyl-GPE+%2816%3A0%2F22%3A6%29* = Compound
c_N-%282-furoyl%29glycine = Compound
c_biliverdin = Compound
c_Unknown+-+17010 = Compound
c_alpha-ketoglutaramate* = Compound
c_salicylate = Compound
c_arabonate%2Fxylonate = Compound
c_phosphatidylcholine+%2814%3A0%2F14%3A0%2C+16%3A0%2F12%3A0%29 = Compound
c_thioproline = Compound
c_cortisol = Compound
c_o-cresol+sulfate = Compound
c_N-acetylcarnosine = Compound
c_1%2C2-dipalmitoyl-GPC+%2816%3A0%2F16%3A0%29 = Compound
c_lanthionine = Compound
2786800 = Enzyme
2786802 = Minor+Metabolite
p_Drug+-+Topical+Agents = Sub+Pathway
2786803 = Metabolite
c_3-aminoisobutyrate = Compound
2786804 = Minor+Metabolite
2786805 = Enzyme
2786806 = Metabolite
c_erucate+%2822%3A1n9%29 = Compound
2786808 = Enzyme
2786809 = Cofactor
p_Vitamin+A+Metabolism = Sub+Pathway
c_2-oleoyl-GPE+%2818%3A1%29* = Compound
c_phenylacetylglutamine = Compound
c_lignoceroyl+sphingomyelin+%28d18%3A1%2F24%3A0%29 = Compound
c_glutarate+%28C5-DC%29 = Compound
c_octadecanedioate+%28C18-DC%29 = Compound
c_hexanoylcarnitine+%28C6%29 = Compound
c_octadecanedioylcarnitine+%28C18-DC%29* = Compound
c_glycerophosphoglycerol = Compound
2786810 = Minor+Metabolite
2786811 = Metabolite
2786813 = Enzyme
c_4-vinylguaiacol+sulfate = Compound
2786815 = Minor+Metabolite
2786817 = Enzyme
2786818 = Metabolite
2786819 = Minor+Metabolite
c_Unknown+-+18779 = Compound
c_1-linolenoyl-GPC+%2818%3A3%29* = Compound
c_glycerophosphoethanolamine = Compound
c_gamma-CEHC = Compound
2786820 = Minor+Metabolite
2786821 = Metabolite
2786822 = Enzyme
c_5alpha-androstan-3beta%2C17beta-diol+monosulfate+%282%29 = Compound
2786825 = Enzyme
2786826 = Metabolite
2786827 = Minor+Metabolite
p_Fatty+Acid%2C+Amide = Sub+Pathway
2786828 = Metabolite
2786829 = Cofactor
c_10-undecenoate+%2811%3A1n1%29 = Compound
c_isobutyrylglycine = Compound
c_uracil = Compound
c_Unknown+-+16124 = Compound
c_1-oleoyl-GPI+%2818%3A1%29* = Compound
c_5alpha-pregnan-3beta%2C20beta-diol+monosulfate+%281%29 = Compound
c_3-hydroxylaurate = Compound
c_2-hydroxylaurate = Compound
c_citrulline = Compound
c_daidzein+sulfate+%282%29 = Compound
c_palmitoyl-arachidonoyl-glycerol+%2816%3A0%2F20%3A4%29+%5B2%5D* = Compound
c_docosapentaenoylcarnitine+%28C22%3A5n3%29* = Compound
c_Unknown+-+21959 = Compound
c_N-acetylkynurenine+%282%29 = Compound
2786830 = Enzyme
c_7-methylxanthine = Compound
c_deoxycarnitine = Compound
2786833 = Enzyme
2786836 = Minor+Metabolite
c_N-delta-acetylornithine = Compound
2786837 = Minor+Metabolite
p_Fatty+Acid%2C+Branched = Sub+Pathway
2786838 = Enzyme
c_glycosyl-N-palmitoyl-sphingosine+%28d18%3A1%2F16%3A0%29 = Compound
c_Unknown+-+15245 = Compound
c_Unknown+-+16576 = Compound
c_3-methyladipate = Compound
p_Polypeptide = Sub+Pathway
c_margaroylcarnitine+%28C17%29* = Compound
c_galactitol+%28dulcitol%29 = Compound
c_1-palmityl-GPE+%28O-16%3A0%29* = Compound
c_Unknown+-+16570 = Compound
c_1-stearoyl-2-dihomo-linolenoyl-GPE+%2818%3A0%2F20%3A3n3+or+6%29* = Compound
2786841 = Minor+Metabolite
2786842 = Enzyme
2786844 = Minor+Metabolite
2786845 = Minor+Metabolite
c_cytidine = Compound
2786847 = Enzyme
2786848 = Minor+Metabolite
2786849 = Metabolite
c_alpha-hydroxyisovalerate = Compound
c_N-acetylglucosamine%2FN-acetylgalactosamine = Compound
c_Unknown+-+17438 = Compound
c_Unknown+-+16580 = Compound
c_5-methylthioadenosine+%28MTA%29 = Compound
c_heme = Compound
2786850 = Metabolite
c_1%2C2-dilinoleoyl-GPC+%2818%3A2%2F18%3A2%29 = Compound
2786851 = Minor+Metabolite
2786852 = Enzyme
c_N-carbamoylalanine = Compound
c_3-ureidopropionate = Compound
2786855 = Enzyme
c_3-methylglutarate%2F2-methylglutarate = Compound
2786857 = Cofactor
2786858 = Minor+Metabolite
2786859 = Cofactor
c_1-%281-enyl-oleoyl%29-2-linoleoyl-GPE+%28P-18%3A1%2F18%3A2%29* = Compound
c_gamma-CEHC+glucuronide* = Compound
p_Acetylated+Peptides = Sub+Pathway
2786740 = Metabolite
2786741 = Minor+Metabolite
c_valine = Compound
2786742 = Minor+Metabolite
2786743 = Enzyme
c_N6-acetyllysine = Compound
c_N1-Methyl-2-pyridone-5-carboxamide = Compound
2786745 = Metabolite
c_sphingomyelin+%28d18%3A2%2F23%3A1%29* = Compound
2786746 = Minor+Metabolite
2786747 = Minor+Metabolite
2786748 = Enzyme
p_Histidine+Metabolism = Sub+Pathway
2786749 = Metabolite
c_galactonate = Compound
c_N-acetylthreonine = Compound
c_Unknown+-+24845++-+retired+for+2-naphthol+sulfate = Compound
c_isoursodeoxycholate = Compound
c_flavin+adenine+dinucleotide+%28FAD%29 = Compound
c_succinimide = Compound
c_1-%281-enyl-stearoyl%29-GPE+%28P-18%3A0%29* = Compound
2786751 = Enzyme
2786752 = Minor+Metabolite
2786753 = Metabolite
2786754 = Metabolite
c_2-hydroxypalmitate = Compound
2786755 = Minor+Metabolite
2786756 = Enzyme
2786757 = Minor+Metabolite
c_palmitoyl+ethanolamide = Compound
2786758 = Minor+Metabolite
2786759 = Metabolite
c_myristoleate+%2814%3A1n5%29 = Compound
p_Phosphatidylcholine+%28PC%29 = Sub+Pathway
c_pregnanolone%2Fallopregnanolone+sulfate = Compound
c_8-hydroxyoctanoate = Compound
c_gamma-glutamyl-alpha-lysine = Compound
c_imidazole+propionate = Compound
c_1-dihomo-linolenoyl-GPC+%2820%3A3n3+or+6%29* = Compound
c_carotene+diol+%283%29 = Compound
2786760 = Metabolite
2786761 = Enzyme
2786762 = Minor+Metabolite
c_2-linoleoyl-GPC+%2818%3A2%29* = Compound
2786763 = Minor+Metabolite
2786766 = Enzyme
c_beta-citrylglutamate = Compound
2786767 = Minor+Metabolite
2786768 = Minor+Metabolite
c_1-dihomo-linolenoyl-GPE+%2820%3A3n3+or+6%29* = Compound
p_Inositol+Metabolism = Sub+Pathway
c_S-adenosylhomocysteine+%28SAH%29 = Compound
c_N-acetylalanine = Compound
c_1-palmitoyl-2-oleoyl-GPC+%2816%3A0%2F18%3A1%29 = Compound
c_glycosyl-N-behenoyl-sphingadienine+%28d18%3A2%2F22%3A0%29* = Compound
c_carotene+diol+%282%29 = Compound
c_Unknown+-+12063 = Compound
2786771 = Enzyme
c_Unknown+-+23196 = Compound
2786774 = Enzyme
2786776 = Metabolite
c_5%2C6-dihydrothymine = Compound
c_gamma-glutamylcitrulline* = Compound
2786777 = Minor+Metabolite
c_famotidine = Compound
2786778 = Minor+Metabolite
c_glycerol = Compound
2786779 = Cofactor
c_tryptophan+betaine = Compound
c_pyroglutamylvaline = Compound
p_Modified+Peptides = Sub+Pathway
2786780 = Enzyme
c_5alpha-androstan-3beta%2C17alpha-diol+disulfate = Compound
c_phosphatidylcholine+%28O-18%3A1%2F20%3A4%2C+O-16%3A0%2F22%3A5n3%29* = Compound
c_carotene+diol+%281%29 = Compound
2786783 = Minor+Metabolite
2786784 = Minor+Metabolite
2786785 = Enzyme
2786786 = Minor+Metabolite
c_1-stearoyl-2-linoleoyl-GPI+%2818%3A0%2F18%3A2%29 = Compound
2786787 = Cofactor
2786788 = Metabolite
c_palmitoleoyl-linoleoyl-glycerol+%2816%3A1%2F18%3A2%29+%5B1%5D* = Compound
2786789 = Minor+Metabolite
c_3-methoxycatechol+sulfate+%281%29 = Compound
c_Unknown+-+23160 = Compound
c_caffeine = Compound
c_dihydroferulic+acid = Compound
2786791 = Cofactor
2786792 = Enzyme
2786793 = Metabolite
2786794 = Metabolite
2786795 = Enzyme
2786797 = Metabolite
c_N6-succinyladenosine = Compound
c_3%2C7-dimethylurate = Compound
c_indoleacetate = Compound
2786798 = Minor+Metabolite
2786799 = Minor+Metabolite
c_Unknown+-+24027 = Compound
c_ranitidine = Compound
c_beta-alanine = Compound
c_valylglycine = Compound
c_arachidonate+%2820%3A4n6%29 = Compound
c_oleoyl-linoleoyl-glycerol+%2818%3A1%2F18%3A2%29+%5B1%5D = Compound
c_Unknown+-+12013 = Compound
c_1-oleoyl-2-docosapentaenoyl-GPC+%2818%3A1%2F22%3A5n6%29* = Compound
c_Unknown+-+24475 = Compound
c_3-hydroxy-2-ethylpropionate = Compound
c_Unknown+-+23145 = Compound
c_1-arachidoyl-2-arachidonoyl-GPC+%2820%3A0%2F20%3A4%29* = Compound
c_1-linoleoyl-2-eicosapentaenoyl-GPC+%2818%3A2%2F20%3A5%29* = Compound
c_1-palmityl-2-arachidonoyl-GPC+%28O-16%3A0%2F20%3A4%29* = Compound
c_oleoyl-linoleoyl-glycerol+%2818%3A1%2F18%3A2%29+%5B2%5D = Compound
c_Unknown+-+12026 = Compound
c_tyrosine = Compound
c_glycodeoxycholate+sulfate = Compound
c_aspartate = Compound
c_Unknown+-+23157 = Compound
p_Oxidative+Phosphorylation = Sub+Pathway
c_sphingosine+1-phosphate = Compound
c_Unknown+-+21668++-+retired+for+glyco-beta-muricholate** = Compound
c_docosapentaenoate+%28n3+DPA%3B+22%3A5n3%29 = Compound
p_Disaccharides+and+Oligosaccharides = Sub+Pathway
c_1-%281-enyl-oleoyl%29-GPC+%28P-18%3A1%29* = Compound
c_Unknown+-+12472 = Compound
c_guaiacol+sulfate = Compound
c_Unknown+-+15503 = Compound
p_Plasmalogen = Sub+Pathway
c_Unknown+-+24452 = Compound
c_Unknown+-+24455 = Compound
c_1-palmitoyl-2-palmitoleoyl-GPC+%2816%3A0%2F16%3A1%29* = Compound
c_Unknown+-+14658 = Compound
p_Pyrimidine+Metabolism%2C+Orotate+containing = Sub+Pathway
c_4-acetamidobutanoate = Compound
c_Unknown+-+14662 = Compound
c_oleoylcarnitine+%28C18%3A1%29 = Compound
c_lactosyl-N-palmitoyl-sphingosine+%28d18%3A1%2F16%3A0%29 = Compound
c_1-stearyl-GPC+%28O-18%3A0%29* = Compound
c_4-vinylphenol+sulfate = Compound
c_p-cresol+sulfate = Compound
c_mannitol%2Fsorbitol = Compound
c_3-hydroxysebacate = Compound
c_glycine+conjugate+of+C10H14O2+%281%29* = Compound
c_Unknown+-+12007 = Compound
c_palmitoyl-palmitoyl-glycerol+%2816%3A0%2F16%3A0%29+%5B2%5D* = Compound
c_maleate = Compound
c_Unknown+-+12456 = Compound
c_sphingomyelin+%28d18%3A1%2F20%3A1%2C+d18%3A2%2F20%3A0%29* = Compound
c_formiminoglutamate = Compound
c_Unknown+-+23109 = Compound
c_sphingomyelin+%28d18%3A1%2F21%3A0%2C+d17%3A1%2F22%3A0%2C+d16%3A1%2F23%3A0%29* = Compound
c_5alpha-pregnan-3beta%2C20alpha-diol+monosulfate+%282%29 = Compound
c_Unknown+-+24431 = Compound
c_Unknown+-+24432 = Compound
c_Unknown+-+23585 = Compound
c_palmitoyl-oleoyl-glycerol+%2816%3A0%2F18%3A1%29+%5B2%5D* = Compound
c_Unknown+-+23587 = Compound
c_arachidoylcarnitine+%28C20%29* = Compound
c_Unknown+-+24435 = Compound
c_Unknown+-+12459 = Compound
c_creatine = Compound
c_2-aminophenol+sulfate = Compound
c_indoleacetylglutamine = Compound
c_Unknown+-+12462 = Compound
c_tyramine+O-sulfate = Compound
c_3-hydroxybutyrate+%28BHBA%29 = Compound
c_2-arachidonoyl-GPC+%2820%3A4%29* = Compound
p_Fatty+Acid+Metabolism+%28also+BCAA+Metabolism%29 = Sub+Pathway
c_behenate+%2822%3A0%29* = Compound
c_laurylcarnitine+%28C12%29 = Compound
c_glutamine = Compound
c_bradykinin%2C+hydroxy-pro%283%29 = Compound
c_1-%281-enyl-stearoyl%29-2-oleoyl-GPE+%28P-18%3A0%2F18%3A1%29 = Compound
c_Unknown+-+23590 = Compound
c_1-palmitoyl-2-adrenoyl-GPC+%2816%3A0%2F22%3A4%29* = Compound
c_4-phenylbutyrate = Compound
