"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"paraxanthine"	"Xenobiotics"	"Xanthine Metabolism"	18254	"202"	2444	181.07201	"611-59-6"	"4687"	"C13747"	"HMDB01860"
"9-methyluric acid"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	43514	"GC/MS"	1923	383.1	"55441-71-9"	"108714"	""	""
"histidylalanine"	"Peptide"	"Dipeptide"	42027	"203"	989.4	225.09931	"16874-75-2"	"351667"	""	""
"x-17350"	""	""	40157	"203"	2728.5	345.15604	""	""	""	""
"x-15497"	""	""	37745	"203"	2877	236.0921	""	""	""	""
"2-hydroxyibuprofen"	"Xenobiotics"	"Drug"	43330	"202"	4470.7	240.15942	"51146-55-5"	""	""	""
"2-hydroxy-3-methylvalerate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	36746	"203"	1787	131.07136	"488-15-3"	"164623"	""	"HMDB00317"
"urate"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1604	"203"	769	167.02106	"69-93-2;120K5305"	"1175"	"C00366"	"HMDB00289"
"gamma-glutamylphenylalanine"	"Peptide"	"Gamma-glutamyl Amino Acid"	33422	"202"	2846	295.12885	"7432-24-8"	"111299"	""	"HMDB00594"
"x-13529"	""	""	35290	"202"	3088	190.10709	""	""	""	""
"x-12729"	""	""	34339	"203"	2077	227.99677	""	""	""	""
"x-12685"	""	""	34294	"202"	1060	154.09774	""	""	""	""
"n6-methyladenosine"	"Nucleotide"	"Purine Metabolism, Adenine containing"	37114	"202"	1985	282.11969	"1867-73-8"	"102175"	""	"HMDB04044"
"4-hydroxyphenylacetate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	541	"GC/MS"	1630.6	179	"156-38-7"	"127"	"C00642"	"HMDB00020"
"1-palmitoyl-gpe (16:0)"	"Lipid"	"Lysolipid"	35631	"203"	5940	452.27826	""	"9547069"	""	"HMDB11503"
"x-14939"	""	""	36966	"203"	4355	165.0917	""	""	""	""
"caffeine"	"Xenobiotics"	"Xanthine Metabolism"	569	"202"	2820	195.08766	"58-08-2"	"2519"	"C07481"	"HMDB01847"
"x-11945"	""	""	33290	"202"	1896	283.10366	""	""	""	""
"arachidonate (20:4n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	1110	"203"	5525	303.23295	"506-32-1"	"444899"	"C00219"	"HMDB01043"
"5alpha-androstan-3beta,17beta-diol disulfate"	"Lipid"	"Steroid"	37190	"203"	3872	225.06965	"571-20-0"	"242332"	"C12525"	"HMDB00493"
"2-hydroxydecanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	42489	"203"	4826	187.13396	"5393-81-7"	"21488"	""	""
"2-palmitoylglycerol (16:0)"	"Lipid"	"Monoacylglycerol"	33419	"GC/MS"	2108	129	"23470-00-0"	"123409"	""	"HMDB11533"
"theophylline"	"Xenobiotics"	"Xanthine Metabolism"	18394	"202"	2495	181.07201	"58-55-9"	"2153"	"C07130"	"HMDB01889"
"5-methyluridine (ribothymidine)"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	35136	"203"	1774	257.07791	"1463-10-1"	"445408"	""	"HMDB00884"
"alpha-hydroxyisovalerate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	33937	"203"	1142	117.05571	"600-37-3"	"99823"	""	"HMDB00407"
"alanine"	"Amino Acid"	"Alanine and Aspartate Metabolism"	1126	"202"	650	90.05496	"56-41-7"	"5950"	"C00041"	"HMDB00161"
"glutamine-isoleucine"	"Peptide"	"Dipeptide"	42988	"203"	1854	258.14593	""	""	""	""
"x-12115"	""	""	33530	"202"	1587	260.149	""	""	""	""
"n-acetyl-1-methylhistidine"	"Amino Acid"	"Histidine Metabolism"	43255	"202"	1019	212.10297	""	""	""	""
"n-acetylneuraminate"	"Carbohydrate"	"Aminosugar Metabolism"	1592	"GC/MS"	2074.9	245	"131-48-6"	"439197"	"C00270"	"HMDB00230"
"hwesasllr"	"Peptide"	"Polypeptide"	33964	"202"	3050	549.78818	""	""	""	""
"x-12117"	""	""	33532	"202"	1486	204.13421	""	""	""	""
"gamma-glutamyl-2-aminobutyrate"	"Peptide"	"Gamma-glutamyl Amino Acid"	37092	"202"	1589	233.1132	""	""	""	""
"aspartate"	"Amino Acid"	"Alanine and Aspartate Metabolism"	443	"203"	643	132.03023	"56-84-8"	"5960"	"C00049"	"HMDB00191"
"7-methylxanthine"	"Xenobiotics"	"Xanthine Metabolism"	34390	"202"	1778	167.05636	"552-62-5"	"68374"	"C16353"	"HMDB01991"
"x-12026"	""	""	33377	"203"	1683	180.05272	""	""	""	""
"n-acetylphenylalanine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	33950	"202"	3563	208.09682	"2018-61-3"	"74839"	"C03519"	"HMDB00512"
"5-oxoproline"	"Amino Acid"	"Glutathione Metabolism"	1494	"203"	744	128.03531	"98-79-3"	"7405"	"C01879"	"HMDB00267"
"7-ketodeoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	31904	"203"	4840	405.26464	"911-40-0"	"188292"	""	"HMDB00391"
"x-12303"	""	""	33725	"203"	2034	176.98576	""	""	""	""
"x-11858"	""	""	33203	"203"	4400	437.05357	""	""	""	""
"myristoylcarnitine"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	33952	"202"	5113	372.31084	"18822-89-4"	"53477791"	""	"HMDB05066"
"n-acetylglutamine"	"Amino Acid"	"Glutamate Metabolism"	33943	"202"	1204	189.08699	"2490-97-3"	"182230"	"C02716"	"HMDB06029"
"alanylleucine"	"Peptide"	"Dipeptide"	37093	"202"	2150	203.13902	"1638-60-4"	"259583"	""	""
"stearate, methyl ester"	"Lipid"	"Fatty Acid, Methyl Ester"	6097	"GC/MS"	1946.4	73.9	"112-61-8"	"8201"	""	""
"x-11470"	""	""	32787	"203"	4151	525.26969	""	""	""	""
"xanthosine"	"Nucleotide"	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	15136	"202"	1785	285.08296	"146-80-5"	"64959"	"C01762"	"HMDB00299"
"1-stearoylglycerol (18:0)"	"Lipid"	"Monoacylglycerol"	21188	"GC/MS"	2186.6	399.4	"123-94-4;31566-31-1"	"24699"	"D01947"	"HMDB31075"
"glutamate"	"Amino Acid"	"Glutamate Metabolism"	57	"202"	700	148.06044	"56-86-0"	"611"	"C00025"	"HMDB00148"
"x-13478"	""	""	35241	"202"	990	188.12808	""	""	""	""
"valylleucine"	"Peptide"	"Dipeptide"	39994	"202"	2503.3	231.17032	"22906-55-4"	"352039"	""	""
"docosapentaenoate (n6 dpa; 22:5n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	37478	"203"	5625	329.2486	"25182-74-5"	"6441454"	"C16513"	"HMDB13123"
"x-15461"	""	""	37709	"202"	2125	160.0968	""	""	""	""
"4-androsten-3beta,17beta-diol disulfate 1"	"Lipid"	"Steroid"	37202	"203"	3735	224.06182	""	"10634"	"C04295"	"HMDB03818"
"fucose"	"Carbohydrate"	"Pentose Metabolism"	15821	"GC/MS"	1682.2	204	"2438-80-4"	"19466"	"C01018"	"HMDB00174"
"1-stearoyl-gpi (18:0)"	"Lipid"	"Lysolipid"	19324	"203"	5800	599.32018	"796963-93-4"	""	""	""
"1-docosahexaenoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	44633	"203"	5650	524.2783	""	""	""	""
"gamma-glutamylmethionine"	"Peptide"	"Gamma-glutamyl Amino Acid"	37539	"202"	1993	279.10092	"17663-87-5"	"7009567"	""	""
"phenylalanylarginine"	"Peptide"	"Dipeptide"	41487	"202"	1553	322.18737	"1238-09-1"	"10268029"	""	""
"6-oxopiperidine-2-carboxylic acid"	"Xenobiotics"	"Drug"	43231	"202"	1856.7	144.06552	"34622-39-4"	"3014237"	""	""
"leucylasparagine"	"Peptide"	"Dipeptide"	40052	"202"	1418	246.14484	"14608-81-2"	"4128305"	""	""
"x-20643"	""	""	45244	"203"	3989	539.2489	""	""	""	""
"x-15863"	""	""	38212	"202"	1470	235.11888	""	""	""	""
"o-methylcatechol sulfate"	"Xenobiotics"	"Benzoate Metabolism"	42496	"203"	2360	203.00196	""	"22473"	""	""
"x-17303"	""	""	40101	"202"	1916.8	176.07035	""	""	""	""
"x-12100"	""	""	33515	"202"	1793	221.0924	""	""	""	""
"x-13504"	""	""	35278	"202"	948	228.09776	""	""	""	""
"pregnen-diol disulfate"	"Lipid"	"Steroid"	32562	"203"	3886	238.07747	""	""	""	""
"glycerophosphorylcholine (gpc)"	"Lipid"	"Phospholipid Metabolism"	15990	"202"	694	258.1101	"28319-77-9"	"71920"	"C00670"	"HMDB00086"
"x-14625"	""	""	36552	"203"	742	308.099	""	""	""	""
"n-acetylglycine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	27710	"203"	735	116.03531	"543-24-8"	"10972"	""	"HMDB00532"
"3-methylxanthine"	"Xenobiotics"	"Xanthine Metabolism"	32445	"202"	1866	167.05636	"1076-22-8"	"70639"	"C16357"	"HMDB01886"
"kynurenine"	"Amino Acid"	"Tryptophan Metabolism"	15140	"202"	1902	209.09207	"2922-83-0"	"161166"	"C00328"	"HMDB00684"
"alanylalanine"	"Peptide"	"Dipeptide"	15129	"GC/MS"	1379.5	271.1	"1948-31-8"	"5484352"	""	"HMDB28680"
"1-stearoylglycerophosphoglycerol"	"Lipid"	"Lysolipid"	34437	"203"	5826	511.30414	""	""	""	""
"isoleucylisoleucine"	"Peptide"	"Dipeptide"	36761	"202"	2678	245.18597	"42537-99-5"	""	""	""
"glycerol 3-phosphate (g3p)"	"Lipid"	"Glycerolipid Metabolism"	15365	"GC/MS"	1719.7	357.1	"29849-82-9"	"754"	"C00093"	"HMDB00126"
"hxgxa"	"Peptide"	"Polypeptide"	31534	"202"	2754	510.30346	""	""	""	""
"3-methyl-2-oxovalerate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	15676	"203"	2106	129.05571	"51829-07-3"	"47"	"C00671"	"HMDB03736"
"x-17715"	""	""	40815	"202"	2364.4	330.08139	""	""	""	""
"ascorbate (vitamin c)"	"Cofactors and Vitamins"	"Ascorbate and Aldarate Metabolism"	1640	"GC/MS"	1850.1	332.1	"134-03-2"	""	"C00072"	"HMDB00044"
"3-ethylphenylsulfate"	"Xenobiotics"	"Benzoate Metabolism"	36848	"203"	3490	201.0227	""	""	"C14386"	""
"2-palmitoyl-gpe (16:0)"	"Lipid"	"Lysolipid"	35688	"203"	5790	452.27826	""	""	""	""
"n-6-trimethyllysine"	"Amino Acid"	"Lysine Metabolism"	1498	"202"	650	189.15976	"23284-33-5"	"440120"	"C03793"	"HMDB01325"
"valylhistidine"	"Peptide"	"Dipeptide"	40680	"203"	1629.1	253.13061	"13589-07-6"	""	""	""
"pyroglutamylvaline"	"Peptide"	"Dipeptide"	32394	"203"	1755	227.10373	"21282-10-0"	"152416"	""	""
"theobromine"	"Xenobiotics"	"Xanthine Metabolism"	18392	"202"	2136	181.07201	"83-67-0"	"5429"	"C07480"	"HMDB02825"
"asparagylvaline"	"Peptide"	"Dipeptide"	42028	"203"	1310	230.11463	"145314-87-0"	""	""	""
"x-16394"	""	""	38963	"202"	1719	229.155	""	""	""	""
"1-eicosatrienoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	44630	"203"	5777	502.2928	""	""	""	""
"tryptophylasparagine"	"Peptide"	"Dipeptide"	40661	"202"	1963	319.14009	"175027-11-9"	""	""	""
"x-13551"	""	""	35329	"202"	4760	312.1359	""	""	""	""
"4-androsten-3beta,17beta-diol disulfate 2"	"Lipid"	"Steroid"	37203	"203"	4073	224.06182	""	"10634"	"C04295"	"HMDB03818"
"x-16947"	""	""	39530	"203"	3808.5	345.15467	""	""	""	""
"x-15486"	""	""	37734	"203"	3638	269.15012	""	""	""	""
"13-hode + 9-hode"	"Lipid"	"Fatty Acid, Monohydroxy"	37752	"203"	5270	295.22786	""	""	""	""
"leucylaspartate"	"Peptide"	"Dipeptide"	40053	"202"	1589.6	247.12885	"32949-40-9"	"3328705"	""	""
"glycocholenate sulfate"	"Lipid"	"Secondary Bile Acid Metabolism"	32599	"203"	4763	254.62291	""	""	""	""
"x-18895"	""	""	42280	"203"	3472	231.05161	""	""	""	""
"1-palmitoylplasmenylethanolamine"	"Lipid"	"Lysolipid"	39270	"203"	6153	436.28334	""	""	""	""
"x-17257"	""	""	39965	"202"	5616.7	254.24741	""	""	""	""
"isoleucylvaline"	"Peptide"	"Dipeptide"	40049	"202"	2202	231.17032	"41017-96-3"	"5246011;435949"	""	""
"x-16570"	""	""	40131	"202"	4263.5	200.12781	""	""	""	""
"x-14302"	""	""	36228	"203"	2240	241.11946	""	""	""	""
"x-11861"	""	""	33206	"203"	4617	229.1446	""	""	""	""
"1-eicosapentaenoylglycerophosphocholine (20:5n3)"	"Lipid"	"Lysolipid"	44563	"202"	5519.6	542.32412	""	""	""	""
"pantothenate (vitamin b5)"	"Cofactors and Vitamins"	"Pantothenate and CoA Metabolism"	1508	"202"	2218	220.11795	"137-08-6"	"6613"	"C00864"	"HMDB00210"
"tyrosylisoleucine"	"Peptide"	"Dipeptide"	40075	"202"	2518	295.16524	"40829-32-1"	""	""	""
"glutamine-leucine"	"Peptide"	"Dipeptide"	42994	"202"	2180	260.16049	""	""	""	""
"1-palmitoylglycerol (16:0)"	"Lipid"	"Monoacylglycerol"	21127	"GC/MS"	2119.5	371.3	"542-44-9"	"14900"	""	"HMDB31074"
"x-12193"	""	""	35760	"203"	2343	201.1133	""	""	""	""
"4-vinylphenol sulfate"	"Xenobiotics"	"Benzoate Metabolism"	36098	"203"	3323	199.00705	"2628-17-3"	"6426766"	"C05627"	"HMDB04072"
"glycylphenylalanine"	"Peptide"	"Dipeptide"	33954	"202"	2377	223.10772	"519077"	"92953"	""	"HMDB28848"
"quinate"	"Xenobiotics"	"Food Component/Plant"	18335	"GC/MS"	1793	345.1	"77-95-2"	"6508"	"C00296"	"HMDB03072"
"1-palmitoleoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	34565	"203"	5661	450.26261	""	""	""	""
"corticosterone"	"Lipid"	"Steroid"	5983	"202"	4856	347.22169	"50-22-6"	"5753"	"C02140"	"HMDB01547"
"2-arachidonoyl-gpe (20:4)"	"Lipid"	"Lysolipid"	32815	"203"	5674	500.27826	""	""	""	""
"linoleamide (18:2n6)"	"Lipid"	"Fatty Acid, Amide"	32455	"202"	5639	280.26349	"766652"	"6435901"	""	""
"x-18039"	""	""	41141	"202"	2211.4	399.23441	""	""	""	""
"x-16133"	""	""	38580	"202"	2640.8	453.24493	""	""	""	""
"2-stearoylglycerol (18:0)"	"Lipid"	"Monoacylglycerol"	34059	"GC/MS"	2178	341.3	"621-61-4"	"79075"	""	""
"glycylvaline"	"Peptide"	"Dipeptide"	18357	"202"	1572	175.10772	"1963-21-9"	"97417"	""	"HMDB28854"
"x-16674"	""	""	39250	"203"	1361.5	217.1082	""	""	""	""
"uridine"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	606	"203"	1430	243.06226	"58-96-8"	"6029"	"C00299"	"HMDB00296"
"x-14192"	""	""	36118	"202"	1582	260.19697	""	""	""	""
"2-docosahexaenoyl-gpc (22:6)"	"Lipid"	"Lysolipid"	35883	"203"	5800	642.3413	""	""	""	""
"x-12822"	""	""	34505	"203"	2786	389.09131	""	""	""	""
"x-17346"	""	""	40814	"202"	2158.9	255.09714	""	""	""	""
"x-13743"	""	""	35553	"202"	2363	276.18114	""	""	""	""
"leucylglutamate"	"Peptide"	"Dipeptide"	40021	"202"	1716	261.1445	""	"5259589;5259590"	""	""
"x-12386"	""	""	33787	"202"	1451	218.11339	""	""	""	""
"3-hydroxy-2-ethylpropionate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	32397	"GC/MS"	1269	247.1	"4374-62-3"	"188979"	""	"HMDB00396"
"x-14364"	""	""	36406	"202"	3413	277.11771	""	""	""	""
"mannitol"	"Carbohydrate"	"Fructose, Mannose and Galactose Metabolism"	15335	"GC/MS"	1839	319.1	"69-65-8"	"6251"	"C00392"	"HMDB00765"
"7-beta-hydroxycholesterol"	"Lipid"	"Sterol"	35092	"GC/MS"	2340	456.4	"566-27-8"	"473141"	""	"HMDB06119"
"x-12712"	""	""	34322	"203"	1690	218.99692	""	""	""	""
"leucylalanine"	"Peptide"	"Dipeptide"	40010	"202"	1760	203.13902	"7298-84-2"	"259321"	""	""
"x-13835"	""	""	35730	"203"	1014	169.06139	""	""	""	""
"threonylisoleucine"	"Peptide"	"Dipeptide"	42972	"202"	2135	233.14959	""	""	""	""
"x-12691"	""	""	34300	"202"	1405	360.14021	""	""	""	""
"oleoylcarnitine (c18)"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	35160	"202"	5202	426.35779	"38677-66-6"	"6441392;53477789"	""	"HMDB05065"
"x-12252"	""	""	33674	"203"	1445	188.09301	""	""	""	""
"x-14097"	""	""	36021	"202"	970	258.14456	""	""	""	""
"adenine"	"Nucleotide"	"Purine Metabolism, Adenine containing"	554	"202"	1003	136.06178	"73-24-5"	"190"	"C00147"	"HMDB00034"
"x-16577"	""	""	39150	"203"	4639.3	169.12376	""	""	""	""
"lactate"	"Carbohydrate"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	527	"GC/MS"	1102.8	116.9	"79-33-4"	"612"	"C00186"	"HMDB00190"
"2-aminoheptanoate"	"Lipid"	"Fatty Acid, Amino"	43761	"202"	2524.2	146.11756	"1115-90-8"	"227939"	""	""
"x-15609"	""	""	37858	"203"	3664	273.04489	""	""	""	""
"2-docosahexaenoylglycerophosphoethanolamine"	"Lipid"	"Lysolipid"	34258	"203"	5600	524.2783	""	""	""	""
"2-stearoylglycerophosphoinositol"	"Lipid"	"Lysolipid"	39223	"203"	5725	599.32018	""	""	""	""
"leucylglycine"	"Peptide"	"Dipeptide"	40045	"202"	1800	189.12337	"686-50-0"	"79070"	""	""
